question,answer,category,difficulty,tags
"What happens if you use script tag inside template?","Angular recognizes the value as unsafe and automatically sanitizes it, which removes the script tag but keeps safe content such as the text content of the script tag. This way it eliminates the risk of script injection attacks. If you still use it then it will be ignored and a warning appears in the browser console.","General","intermediate","general"
"What is interpolation?","Interpolation is a special syntax that Angular converts into property binding. It’s a convenient alternative to property binding. It is represented by double curly braces({{}}). The text between the braces is often the name of a component property. Angular replaces that name with the string value of the corresponding component property.","General","intermediate","general"
"What are template expressions?","A template expression produces a value similar to any Javascript expression. Angular executes the expression and assigns it to a property of a binding target; the target might be an HTML element, a component, or a directive. In the property binding, a template expression appears in quotes to the right of the = symbol as in [property]=expression. In interpolation syntax, the template expression is surrounded by double curly braces. For example, in the below interpolation, the template expression is {{username}},","General","intermediate","general"
"What are template statements?","A template statement responds to an event raised by a binding target such as an element, component, or directive. The template statements appear in quotes to the right of the = symbol like (event)=statement.","General","intermediate","general"
"How do you categorize data binding types?","Binding types can be grouped into three categories distinguished by the direction of data flow. They are listed as below,","General","intermediate","general"
"What are pipes?","Pipes are simple functions that use template expressions to accept data as input and transform it into a desired output. For example, let us take a pipe to transform a component's birthday property into a human-friendly date using date pipe.","General","intermediate","general"
"What is a parameterized pipe?","A pipe can accept any number of optional parameters to fine-tune its output. The parameterized pipe can be created by declaring the pipe name with a colon ( : ) and then the parameter value. If the pipe accepts multiple parameters, separate the values with colons. Let's take a birthday example with a particular format(dd/MM/yyyy):","General","intermediate","general"
"How do you chain pipes?","You can chain pipes together in potentially useful combinations as per the needs. Let's take a birthday property which uses date pipe(along with parameter) and uppercase pipes as below","General","intermediate","general"
"What is a custom pipe?","Apart from built-in pipes, you can write your own custom pipe with the below key characteristics:","General","intermediate","general"
"Give an example of custom pipe?","You can create custom reusable pipes for the transformation of existing value. For example, let us create a custom pipe for finding file size based on an extension,","General","intermediate","general"
"What is the difference between pure and impure pipe?","A pure pipe is only called when Angular detects a change in the value or the parameters passed to a pipe. For example, any changes to a primitive input value (String, Number, Boolean, Symbol) or a changed object reference (Date, Array, Function, Object). An impure pipe is called for every change detection cycle no matter whether the value or parameters changes. i.e, An impure pipe is called often, as often as every keystroke or mouse-move.","Pipes","easy","di"
"What is a bootstrapping module?","Every application has at least one Angular module, the root module that you bootstrap to launch the application is called as bootstrapping module. It is commonly known as AppModule. The default structure of AppModule generated by AngularCLI would be as follows:","General","intermediate","general"
"What are observables?","Observables are declarative which provide support for passing messages between publishers and subscribers in your application. They are mainly used for event handling, asynchronous programming, and handling multiple values. In this case, you define a function for publishing values, but it is not executed until a consumer subscribes to it. The subscribed consumer then receives notifications until the function completes, or until they unsubscribe.","RxJS","intermediate","angular"
"What is HttpClient and its benefits?","Most of the Front-end applications communicate with backend services over HTTP protocol using either XMLHttpRequest interface or the fetch() API. Angular provides a simplified client HTTP API known as HttpClient which is based on top of XMLHttpRequest interface. This client is available from @angular/common/http package. You can import in your root module as below:","General","intermediate","general"
"Explain on how to use HttpClient with an example?","Below are the steps need to be followed for the usage of HttpClient.","General","intermediate","general"
"How can you read full response?","The response body doesn't or may not return full response data because sometimes servers also return special headers or status code, which are important for the application workflow. In order to get the full response, you should use observe option from HttpClient:","General","intermediate","general"
"How do you perform Error handling?","If the request fails on the server or fails to reach the server due to network issues, then HttpClient will return an error object instead of a successful response. In this case, you need to handle in the component by passing error object as a second callback to subscribe() method.","General","intermediate","general"
"What is RxJS?","RxJS is a library for composing asynchronous and callback-based code in a functional, reactive style using Observables. Many APIs such as HttpClient produce and consume RxJS Observables and also uses operators for processing observables.","General","intermediate","general"
"What is subscribing?","An Observable instance begins publishing values only when someone subscribes to it. So you need to subscribe by calling the subscribe() method of the instance, passing an observer object to receive the notifications.","General","intermediate","general"
"What is an observable?","An Observable is a unique Object similar to a Promise that can help manage async code. Observables are not part of the JavaScript language so we need to rely on a popular Observable library called RxJS. The observables are created using new keyword.","General","intermediate","general"
"What is an observer?","Observer is an interface for a consumer of push-based notifications delivered by an Observable. It has below structure,","General","intermediate","general"
"What is the difference between promise and observable?","Below are the list of differences between promise and observable:","General","intermediate","general"
"What is multicasting?","Multi-casting is the practice of broadcasting to a list of multiple subscribers in a single execution.","General","intermediate","general"
"How do you perform error handling in observables?","You can handle errors by specifying an error callback on the observer instead of relying on try/catch, which are ineffective in asynchronous environment.","General","intermediate","general"
"What is the shorthand notation for subscribe method?","The subscribe() method can accept callback function definitions in line, for next, error, and complete handlers. It is known as shorthand notation or Subscribe method with positional arguments.","General","intermediate","general"
"What are the utility functions provided by RxJS?","The RxJS library also provides below utility functions for creating and working with observables.","General","intermediate","general"
"What are observable creation functions?","RxJS provides creation functions for the process of creating observables from promises, events, timers and Ajax requests. Let us explain each of them with an example:","General","intermediate","general"
"What will happen if you do not supply handler for the observer?","Usually, an observer object can define any combination of next, error, and complete notification type handlers. If you don't supply a handler for a notification type, the observer just ignores notifications of that type.","RxJS","intermediate","angular"
